,laptop_id,name,price,processor,ram,os,storage,img_link,display,rating,no_of_ratings,no_of_reviews,laptop_brand,os_brand,processor_brand,usecases
553,553,DELL Core i3 10th Gen,42890,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kzvlua80/computer/v/k/o/vostro-3510-thin-and-light-laptop-dell-original-imagbscgmx366uhv.jpeg?q=70,15.6,4.2,913.0,107.0,DELL,Windows,Intel, Business/Professional
554,554,DELL Inspiron Ryzen 5 Quad Core 3450U,49890,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,15.6,3.9,125.0,13.0,DELL,Windows,AMD, Gaming
555,555,HP Pavilion Intel Core i5 11th Gen,69490,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l12h1u80/computer/2/s/q/14-dy1048tu-thin-and-light-laptop-hp-original-imagcpuvfpshgd7q.jpeg?q=70,14.0,3.8,21.0,4.0,HP,Windows,Intel, Gaming
556,556,MSI Crosshair 15 Core i7 12th Gen,110990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/p/i/1/crosshair-15-b12uez-gaming-laptop-msi-original-imageymuhhs7djjf.jpeg?q=70,15.6,4.4,40.0,7.0,MSI,Windows,Intel, Budget Friendly
557,557,Lenovo IdeaPad Gaming 3 Core i5 10th Gen,62990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/3/q/k/lenovo-original-imag3eht25nykhjn.jpeg?q=70,15.6,4.3,740.0,70.0,Lenovo,Windows,Intel, Budget Friendly
559,559,ASUS Core i3 7th Gen,28990,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/jqb8ccw0/computer/x/g/g/asus-na-laptop-original-imafccy6gshnz6ct.jpeg?q=70,15.6,4.0,5344.0,705.0,ASUS,Windows,Intel, Business/Professional
560,560,DELL Inspiron Core i3 10th Gen,42990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kgtqhe80/computer/h/a/y/dell-original-imafwyv9f2e52zzh.jpeg?q=70,15.6,4.1,238.0,27.0,DELL,Windows,Intel, Business/Professional
562,562,MSI Prestige 14 Intel EVO Core i5 11th Gen,74990,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 10 Operating System,PCI-e Gen4 SSD?SHIFT?Matrix Display (Extend)?Cooler Boost 3?Thunderbolt 4?Finger Print Security?True Color 2.0?Hi-Res Audio?Nahimic 3? 4-Sided Thin bezel?MSI Center?Silky Smooth Touchpad?Military-Grade Durability,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/v/u/l/na-thin-and-light-laptop-msi-original-imagyzqagngnrnzh.jpeg?q=70,14.0,4.5,11.0,1.0,MSI,Windows,Intel, Gaming
563,563,acer Nitro 5 Ryzen 5 Hexa Core AMD R5,59990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imaghhe6ttguxzkq.jpeg?q=70,15.6,4.5,313.0,31.0,acer,Windows,AMD, Business/Professional
564,564,ASUS Chromebook Flip Touch Celeron Dual Core,22990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/q/t/6/-original-imagdv4ykwrjxbmh.jpeg?q=70,11.6,4.0,1853.0,287.0,ASUS,ChromeOS,Intel,Ultra-portable
